id,text,language,emotion,stress_level,stress_score
133,I feel excited for tomorrow #132,English,anger,high,10
134,I feel calm and relaxed #133,English,stress,high,10
135,I feel nervous about my future #134,English,fear,low,0
136,I am frustrated with my tasks #135,English,anger,low,1
137,I feel peaceful today #136,English,neutral,medium,6
138,I feel very happy today #137,English,surprise,high,9
139,I am stressed about my work #138,English,joy,low,0
140,I feel peaceful today #139,English,neutral,low,1
141,I feel calm and relaxed #140,English,fear,low,0
142,I feel nervous about my future #141,English,surprise,medium,4
143,I feel calm and relaxed #142,English,stress,medium,5
144,I feel peaceful today #143,English,neutral,low,0
145,I feel a lot of pressure #144,English,anger,high,7
146,I feel nervous about my future #145,English,neutral,medium,6
147,I feel calm and relaxed #146,English,fear,medium,5
148,I feel a lot of pressure #147,English,fear,high,10
149,I feel excited for tomorrow #148,English,stress,high,8
150,I feel nervous about my future #149,English,surprise,high,7
151,I feel very happy today #150,English,stress,high,10
152,I am angry about the situation #151,English,joy,medium,6
153,I feel nervous about my future #152,English,surprise,low,0
154,I feel very happy today #153,English,surprise,low,3
155,I am stressed about my work #154,English,fear,low,2
156,I am angry about the situation #155,English,stress,high,7
157,I feel calm and relaxed #156,English,anger,high,8
158,I feel lonely today #157,English,stress,low,3
159,I feel nervous about my future #158,English,surprise,low,3
160,I feel very happy today #159,English,sadness,high,9
161,I am stressed about my work #160,English,neutral,low,3
162,I feel lonely today #161,English,sadness,low,2
163,I am stressed about my work #162,English,sadness,medium,4
164,I feel a lot of pressure #163,English,stress,low,2
165,I am worried about my exams #164,English,sadness,high,10
166,I feel calm and relaxed #165,English,sadness,high,7
167,I feel lonely today #166,English,anger,medium,4
168,I feel lonely today #167,English,anger,high,8
169,I am stressed about my work #168,English,stress,high,10
170,I feel a lot of pressure #169,English,sadness,medium,4
171,I feel very happy today #170,English,joy,low,0
172,I feel very happy today #171,English,stress,medium,4
173,I feel a lot of pressure #172,English,neutral,low,1
174,I am frustrated with my tasks #173,English,surprise,high,9
175,I am surprised by the news #174,English,surprise,low,3
176,I am angry about the situation #175,English,anger,high,9
177,I feel a lot of pressure #176,English,joy,high,7
178,I am worried about my exams #177,English,stress,high,8
179,I feel calm and relaxed #178,English,surprise,low,3
180,I feel excited for tomorrow #179,English,fear,high,7
181,I feel lonely today #180,English,joy,low,3
182,I am angry about the situation #181,English,joy,low,1
183,I feel calm and relaxed #182,English,anger,medium,5
184,I feel excited for tomorrow #183,English,anger,medium,6
185,I am frustrated with my tasks #184,English,surprise,low,2
186,I am frustrated with my tasks #185,English,neutral,high,7
187,I feel nervous about my future #186,English,stress,high,8
188,I am angry about the situation #187,English,stress,low,3
189,I feel calm and relaxed #188,English,joy,high,7
190,I feel excited for tomorrow #189,English,stress,high,9
191,I feel excited for tomorrow #190,English,fear,low,1
192,I feel lonely today #191,English,joy,high,7
193,I feel peaceful today #192,English,joy,high,7
194,I feel peaceful today #193,English,stress,medium,4
195,I feel peaceful today #194,English,surprise,low,0
196,I am stressed about my work #195,English,stress,medium,5
197,I feel nervous about my future #196,English,surprise,low,1
198,I feel excited for tomorrow #197,English,anger,medium,5
199,I feel nervous about my future #198,English,joy,high,10
200,I am frustrated with my tasks #199,English,anger,low,1
201,I am angry about the situation #200,English,joy,high,7
202,I feel nervous about my future #201,English,stress,medium,6
203,I am worried about my exams #202,English,fear,medium,4
204,I am surprised by the news #203,English,neutral,low,2
205,I feel excited for tomorrow #204,English,stress,medium,4
206,I feel peaceful today #205,English,anger,low,2
207,I feel very happy today #206,English,neutral,low,3
208,I am worried about my exams #207,English,fear,high,8
209,I am frustrated with my tasks #208,English,fear,low,0
210,I am worried about my exams #209,English,neutral,low,1
211,I feel peaceful today #210,English,sadness,high,7
212,I am worried about my exams #211,English,fear,high,9
213,I feel lonely today #212,English,sadness,medium,5
214,I feel a lot of pressure #213,English,sadness,medium,5
215,I am stressed about my work #214,English,surprise,low,2
216,I am frustrated with my tasks #215,English,fear,low,0
217,I am frustrated with my tasks #216,English,joy,medium,4
218,I feel lonely today #217,English,joy,medium,5
219,I am surprised by the news #218,English,neutral,medium,5
220,I am worried about my exams #219,English,stress,high,10
221,I feel peaceful today #220,English,stress,high,8
222,I feel very happy today #221,English,joy,high,8
223,I feel lonely today #222,English,anger,low,1
224,I feel lonely today #223,English,neutral,high,9
225,I am frustrated with my tasks #224,English,neutral,medium,6
226,I feel excited for tomorrow #225,English,joy,high,7
227,I feel a lot of pressure #226,English,fear,high,7
228,I am surprised by the news #227,English,sadness,low,1
229,I am angry about the situation #228,English,anger,low,2
230,I feel nervous about my future #229,English,stress,low,1
231,I feel very happy today #230,English,anger,high,7
232,I am stressed about my work #231,English,surprise,low,2
233,I am surprised by the news #232,English,surprise,high,7
234,I feel peaceful today #233,English,neutral,high,7
235,I feel excited for tomorrow #234,English,neutral,low,2
236,I feel lonely today #235,English,stress,low,1
237,I feel excited for tomorrow #236,English,anger,low,3
238,I feel nervous about my future #237,English,neutral,low,2
239,I feel a lot of pressure #238,English,joy,low,3
240,I am worried about my exams #239,English,surprise,low,3
241,I am frustrated with my tasks #240,English,fear,low,0
242,I am stressed about my work #241,English,anger,high,9
243,I am frustrated with my tasks #242,English,anger,high,7
244,I feel peaceful today #243,English,fear,low,1
245,I am frustrated with my tasks #244,English,joy,low,3
246,I feel peaceful today #245,English,stress,high,8
247,I feel nervous about my future #246,English,sadness,high,10
248,I feel peaceful today #247,English,stress,low,1
249,I am frustrated with my tasks #248,English,sadness,low,2
250,I feel calm and relaxed #249,English,joy,low,2
251,I am worried about my exams #250,English,fear,low,0
252,I feel very happy today #251,English,fear,low,1
253,I feel lonely today #252,English,sadness,medium,4
254,I feel excited for tomorrow #253,English,stress,medium,6
255,I am surprised by the news #254,English,neutral,high,9
256,I feel nervous about my future #255,English,joy,high,7
257,I feel very happy today #256,English,sadness,medium,6
258,I am frustrated with my tasks #257,English,anger,high,10
259,I am worried about my exams #258,English,sadness,high,9
260,I am surprised by the news #259,English,anger,medium,6
261,I am worried about my exams #260,English,anger,high,7
262,I feel excited for tomorrow #261,English,joy,high,8
263,I am surprised by the news #262,English,stress,low,0
264,I am frustrated with my tasks #263,English,stress,high,10
265,I am stressed about my work #264,English,neutral,medium,4
266,I feel peaceful today #265,English,sadness,medium,6
267,I am worried about my exams #266,English,anger,high,9
268,I feel calm and relaxed #267,English,surprise,high,10
269,I feel a lot of pressure #268,English,anger,low,0
270,I feel nervous about my future #269,English,stress,high,8
271,I am angry about the situation #270,English,stress,medium,6
272,I am surprised by the news #271,English,joy,high,7
273,I feel excited for tomorrow #272,English,surprise,low,1
274,I feel peaceful today #273,English,fear,low,3
275,I feel calm and relaxed #274,English,neutral,medium,6
276,I feel very happy today #275,English,stress,high,9
277,I feel a lot of pressure #276,English,surprise,medium,5
278,I feel nervous about my future #277,English,neutral,high,8
279,I feel excited for tomorrow #278,English,sadness,medium,6
280,I am worried about my exams #279,English,sadness,medium,4
281,I feel nervous about my future #280,English,sadness,medium,5
282,I am surprised by the news #281,English,sadness,low,0
283,I feel nervous about my future #282,English,stress,medium,5
284,I feel a lot of pressure #283,English,anger,low,3
285,I feel lonely today #284,English,fear,medium,6
286,I feel calm and relaxed #285,English,sadness,high,7
287,I am surprised by the news #286,English,anger,medium,5
288,I am stressed about my work #287,English,anger,low,3
289,I feel lonely today #288,English,joy,high,10
290,I am stressed about my work #289,English,anger,low,1
291,I feel lonely today #290,English,fear,low,2
292,I feel peaceful today #291,English,sadness,low,3
293,I feel nervous about my future #292,English,stress,high,7
294,I feel nervous about my future #293,English,stress,high,7
295,I am angry about the situation #294,English,sadness,medium,5
296,I feel calm and relaxed #295,English,stress,low,3
297,I feel nervous about my future #296,English,sadness,high,10
298,I feel peaceful today #297,English,neutral,medium,5
299,I am stressed about my work #298,English,stress,high,8
300,I feel excited for tomorrow #299,English,stress,low,3
301,I am frustrated with my tasks #300,English,anger,medium,4
302,I feel excited for tomorrow #301,English,anger,medium,6
303,I feel very happy today #302,English,fear,medium,4
304,I feel calm and relaxed #303,English,fear,medium,5
305,I feel excited for tomorrow #304,English,joy,low,3
306,I am frustrated with my tasks #305,English,stress,high,8
307,I feel excited for tomorrow #306,English,surprise,low,2
308,I feel a lot of pressure #307,English,sadness,high,9
309,I feel lonely today #308,English,joy,medium,4
310,I feel nervous about my future #309,English,neutral,low,3
311,I feel calm and relaxed #310,English,surprise,low,3
312,I am surprised by the news #311,English,anger,medium,4
313,I feel nervous about my future #312,English,surprise,high,7
314,I feel excited for tomorrow #313,English,neutral,high,9
315,I am angry about the situation #314,English,neutral,high,8
316,I am surprised by the news #315,English,joy,medium,4
317,I am angry about the situation #316,English,anger,high,9
318,I feel lonely today #317,English,neutral,medium,6
319,I am frustrated with my tasks #318,English,neutral,low,0
320,I feel nervous about my future #319,English,sadness,low,1
321,I am surprised by the news #320,English,sadness,high,8
322,I feel excited for tomorrow #321,English,neutral,high,9
323,I feel excited for tomorrow #322,English,neutral,high,9
324,I am angry about the situation #323,English,fear,low,2
325,I am worried about my exams #324,English,joy,high,10
326,I feel very happy today #325,English,sadness,low,3
327,I am frustrated with my tasks #326,English,fear,high,7
328,I am worried about my exams #327,English,stress,low,2
329,I feel very happy today #328,English,fear,high,7
330,I feel lonely today #329,English,joy,medium,5
331,I feel a lot of pressure #330,English,sadness,high,10
332,I feel lonely today #331,English,surprise,low,3
333,I am worried about my exams #332,English,stress,low,3
334,I feel calm and relaxed #333,English,neutral,high,7
335,I am worried about my exams #334,English,stress,medium,4
336,I am worried about my exams #335,English,stress,high,9
337,I feel very happy today #336,English,surprise,low,3
338,I feel peaceful today #337,English,fear,medium,4
339,I feel a lot of pressure #338,English,sadness,high,10
340,I am worried about my exams #339,English,surprise,medium,4
341,I am stressed about my work #340,English,neutral,low,0
342,I feel calm and relaxed #341,English,anger,high,9
343,I feel peaceful today #342,English,surprise,low,3
344,I feel nervous about my future #343,English,joy,low,3
345,I feel nervous about my future #344,English,neutral,high,7
346,I feel excited for tomorrow #345,English,sadness,low,1
347,I feel excited for tomorrow #346,English,sadness,high,8
348,I am stressed about my work #347,English,anger,medium,5
349,I am surprised by the news #348,English,sadness,high,9
350,I am worried about my exams #349,English,sadness,low,2
351,I feel excited for tomorrow #350,English,sadness,high,7
352,I feel calm and relaxed #351,English,fear,high,10
353,I feel calm and relaxed #352,English,sadness,low,1
354,I am stressed about my work #353,English,joy,medium,6
355,I feel very happy today #354,English,surprise,low,1
356,I am worried about my exams #355,English,stress,high,8
357,I am worried about my exams #356,English,sadness,high,10
358,I feel a lot of pressure #357,English,sadness,low,2
359,I am stressed about my work #358,English,joy,low,0
360,I am frustrated with my tasks #359,English,surprise,high,7
361,I feel calm and relaxed #360,English,sadness,high,7
362,I feel calm and relaxed #361,English,neutral,medium,5
363,I am frustrated with my tasks #362,English,surprise,medium,4
364,I am frustrated with my tasks #363,English,anger,high,8
365,I feel excited for tomorrow #364,English,joy,high,8
366,I am worried about my exams #365,English,stress,low,3
367,I am frustrated with my tasks #366,English,surprise,high,8
368,I feel a lot of pressure #367,English,anger,low,0
369,I feel very happy today #368,English,neutral,high,7
370,I feel lonely today #369,English,sadness,high,7
371,I feel lonely today #370,English,sadness,high,9
372,I am stressed about my work #371,English,anger,medium,5
373,I feel very happy today #372,English,joy,high,9
374,I feel a lot of pressure #373,English,fear,low,1
375,I feel excited for tomorrow #374,English,joy,medium,4
376,I feel nervous about my future #375,English,surprise,high,7
377,I feel very happy today #376,English,fear,high,7
378,I feel peaceful today #377,English,stress,low,2
379,I feel excited for tomorrow #378,English,anger,low,3
380,I am worried about my exams #379,English,sadness,low,3
381,I feel excited for tomorrow #380,English,neutral,high,9
382,I feel peaceful today #381,English,joy,high,9
383,I am worried about my exams #382,English,surprise,low,3
384,I feel calm and relaxed #383,English,sadness,medium,6
385,I am angry about the situation #384,English,sadness,medium,4
386,I feel excited for tomorrow #385,English,surprise,high,9
387,I feel nervous about my future #386,English,surprise,high,8
388,I am angry about the situation #387,English,anger,low,2
389,I feel very happy today #388,English,surprise,high,9
390,I feel peaceful today #389,English,anger,high,7
391,I am stressed about my work #390,English,fear,medium,5
392,I feel lonely today #391,English,neutral,low,1
393,I feel nervous about my future #392,English,anger,high,7
394,I am frustrated with my tasks #393,English,sadness,medium,4
395,I feel nervous about my future #394,English,joy,high,9
396,I am frustrated with my tasks #395,English,joy,low,0
397,I feel peaceful today #396,English,fear,high,8
398,I am surprised by the news #397,English,sadness,low,0
399,I feel excited for tomorrow #398,English,anger,low,2
400,I feel a lot of pressure #399,English,sadness,low,3
401,I am angry about the situation #400,English,joy,low,0
402,I feel a lot of pressure #401,English,surprise,high,10
403,I feel calm and relaxed #402,English,joy,high,10
404,I am angry about the situation #403,English,neutral,high,10
405,I am stressed about my work #404,English,sadness,high,10
406,I feel lonely today #405,English,fear,high,7
407,I am surprised by the news #406,English,joy,medium,4
408,I am angry about the situation #407,English,stress,medium,4
409,I feel very happy today #408,English,anger,high,7
410,I am surprised by the news #409,English,surprise,medium,6
411,I feel lonely today #410,English,stress,high,10
412,I feel excited for tomorrow #411,English,sadness,high,9
413,I feel calm and relaxed #412,English,joy,high,9
414,I am surprised by the news #413,English,joy,low,1
415,I feel very happy today #414,English,sadness,high,7
416,I feel very happy today #415,English,anger,medium,6
417,I feel lonely today #416,English,anger,medium,6
418,I am worried about my exams #417,English,surprise,high,8
419,I feel a lot of pressure #418,English,fear,medium,4
420,I am angry about the situation #419,English,surprise,medium,6
421,I am worried about my exams #420,English,sadness,low,0
422,I feel lonely today #421,English,anger,low,3
423,I feel calm and relaxed #422,English,anger,high,8
424,I feel excited for tomorrow #423,English,stress,high,7
425,I feel excited for tomorrow #424,English,surprise,medium,4
426,I feel lonely today #425,English,sadness,low,0
427,I feel a lot of pressure #426,English,stress,high,7
428,I feel excited for tomorrow #427,English,stress,medium,5
429,I am stressed about my work #428,English,fear,high,8
430,I am worried about my exams #429,English,surprise,medium,5
431,I feel peaceful today #430,English,sadness,low,1
432,I feel lonely today #431,English,anger,low,1
433,I feel very happy today #432,English,anger,medium,4
434,I am surprised by the news #433,English,stress,high,7
435,I feel very happy today #434,English,surprise,low,1
436,I am angry about the situation #435,English,sadness,high,9
437,I feel nervous about my future #436,English,fear,medium,6
438,I feel a lot of pressure #437,English,fear,high,8
439,I am surprised by the news #438,English,neutral,high,10
440,I am surprised by the news #439,English,fear,low,3
441,I feel lonely today #440,English,neutral,high,9
442,I am worried about my exams #441,English,joy,medium,6
443,I feel nervous about my future #442,English,surprise,medium,6
444,I am surprised by the news #443,English,joy,low,0
445,I feel calm and relaxed #444,English,anger,low,0
446,I am surprised by the news #445,English,sadness,medium,5
447,I feel a lot of pressure #446,English,neutral,medium,4
448,I feel lonely today #447,English,sadness,low,0
449,I feel calm and relaxed #448,English,fear,medium,5
450,I feel a lot of pressure #449,English,surprise,medium,6
451,I am frustrated with my tasks #450,English,sadness,low,3
452,I am frustrated with my tasks #451,English,anger,medium,5
453,I feel excited for tomorrow #452,English,sadness,low,3
454,I am surprised by the news #453,English,anger,high,7
455,I feel excited for tomorrow #454,English,neutral,high,10
456,I am angry about the situation #455,English,surprise,low,3
457,I am stressed about my work #456,English,surprise,medium,4
458,I am surprised by the news #457,English,sadness,medium,4
459,I feel very happy today #458,English,sadness,medium,6
460,I feel peaceful today #459,English,anger,medium,6
461,I feel excited for tomorrow #460,English,fear,high,7
462,I am worried about my exams #461,English,joy,high,9
463,I am angry about the situation #462,English,surprise,high,10
464,I feel nervous about my future #463,English,sadness,medium,6
465,I am angry about the situation #464,English,neutral,low,1
466,I am frustrated with my tasks #465,English,anger,medium,5
467,I am worried about my exams #466,English,stress,high,7
468,I feel peaceful today #467,English,sadness,medium,6
469,I feel lonely today #468,English,anger,high,10
470,I feel very happy today #469,English,anger,high,10
471,I feel calm and relaxed #470,English,anger,low,0
472,I am frustrated with my tasks #471,English,neutral,low,1
473,I am surprised by the news #472,English,sadness,low,2
474,I feel peaceful today #473,English,surprise,low,0
475,I feel a lot of pressure #474,English,neutral,low,0
476,I am worried about my exams #475,English,neutral,low,0
477,I am angry about the situation #476,English,neutral,medium,5
478,I am surprised by the news #477,English,sadness,high,9
479,I feel a lot of pressure #478,English,anger,low,1
480,I feel excited for tomorrow #479,English,sadness,low,3
481,I feel peaceful today #480,English,anger,medium,6
482,I am angry about the situation #481,English,stress,high,10
483,I am stressed about my work #482,English,joy,high,10
484,I am worried about my exams #483,English,surprise,high,8
485,I am angry about the situation #484,English,joy,high,10
486,I am stressed about my work #485,English,anger,high,7
487,I feel excited for tomorrow #486,English,sadness,high,8
488,I am stressed about my work #487,English,stress,high,10
489,I feel nervous about my future #488,English,joy,high,9
490,I feel nervous about my future #489,English,anger,low,3
491,I am angry about the situation #490,English,neutral,high,10
492,I feel calm and relaxed #491,English,anger,medium,5
493,I am worried about my exams #492,English,anger,low,2
494,I am angry about the situation #493,English,fear,medium,5
495,I feel nervous about my future #494,English,stress,low,0
496,I feel very happy today #495,English,joy,high,8
497,I feel very happy today #496,English,anger,medium,5
498,I am angry about the situation #497,English,fear,high,8
499,I feel calm and relaxed #498,English,fear,high,9
500,I feel a lot of pressure #499,English,joy,medium,5
501,I am surprised by the news #500,English,fear,low,2
502,I am frustrated with my tasks #501,English,fear,low,0
503,I feel calm and relaxed #502,English,fear,high,8
504,I am worried about my exams #503,English,stress,high,8
505,I am stressed about my work #504,English,fear,high,9
506,I am surprised by the news #505,English,surprise,low,1
507,I am angry about the situation #506,English,sadness,high,10
508,I feel nervous about my future #507,English,joy,low,2
509,I am worried about my exams #508,English,surprise,medium,5
510,I am frustrated with my tasks #509,English,anger,low,3
511,I am stressed about my work #510,English,stress,high,8
512,I am surprised by the news #511,English,fear,medium,5
513,I am worried about my exams #512,English,surprise,medium,4
514,I feel a lot of pressure #513,English,stress,low,1
515,I feel peaceful today #514,English,neutral,high,9
516,I feel lonely today #515,English,stress,medium,6
517,I feel peaceful today #516,English,surprise,medium,6
518,I am surprised by the news #517,English,anger,high,9
519,I feel excited for tomorrow #518,English,surprise,high,9
520,I am surprised by the news #519,English,neutral,low,3
521,I feel very happy today #520,English,fear,high,7
522,I feel very happy today #521,English,surprise,high,8
523,I feel very happy today #522,English,neutral,high,10
524,I feel a lot of pressure #523,English,neutral,high,7
525,I feel excited for tomorrow #524,English,neutral,medium,6
526,I am frustrated with my tasks #525,English,joy,low,3
527,I feel calm and relaxed #526,English,stress,medium,6
528,I feel lonely today #527,English,neutral,high,9
529,I feel excited for tomorrow #528,English,joy,high,8
530,I feel lonely today #529,English,stress,medium,5
531,I feel very happy today #530,English,neutral,medium,6
532,I feel peaceful today #531,English,stress,medium,4
533,I am worried about my exams #532,English,sadness,low,1
534,I am angry about the situation #533,English,stress,low,0
535,I am worried about my exams #534,English,joy,low,1
536,I feel very happy today #535,English,anger,low,3
537,I feel peaceful today #536,English,stress,medium,5
538,I am surprised by the news #537,English,fear,high,7
539,I feel a lot of pressure #538,English,neutral,low,2
540,I feel lonely today #539,English,anger,high,10
541,I feel calm and relaxed #540,English,sadness,low,3
542,I feel lonely today #541,English,joy,medium,4
543,I am angry about the situation #542,English,surprise,medium,6
544,I feel very happy today #543,English,joy,low,1
545,I feel peaceful today #544,English,surprise,low,1
546,I am angry about the situation #545,English,anger,high,10
547,I am worried about my exams #546,English,neutral,medium,6
548,I feel nervous about my future #547,English,neutral,medium,6
549,I am angry about the situation #548,English,stress,medium,6
550,I feel nervous about my future #549,English,stress,low,1
551,I am stressed about my work #550,English,neutral,low,2
552,I am angry about the situation #551,English,surprise,high,9
553,I feel peaceful today #552,English,anger,high,10
554,I feel calm and relaxed #553,English,anger,high,10
555,I feel lonely today #554,English,surprise,medium,6
556,I am surprised by the news #555,English,joy,high,8
557,I feel very happy today #556,English,surprise,low,3
558,I am stressed about my work #557,English,anger,high,7
559,I feel a lot of pressure #558,English,neutral,medium,4
560,I feel peaceful today #559,English,fear,medium,4
561,I am stressed about my work #560,English,joy,medium,5
562,I feel lonely today #561,English,stress,low,2
563,I feel very happy today #562,English,joy,medium,6
564,I am angry about the situation #563,English,surprise,medium,6
565,I am frustrated with my tasks #564,English,fear,high,8
566,I feel very happy today #565,English,surprise,low,0
567,I am surprised by the news #566,English,fear,high,9
568,I feel lonely today #567,English,neutral,medium,6
569,I am surprised by the news #568,English,anger,low,1
570,I am surprised by the news #569,English,stress,low,2
571,I am angry about the situation #570,English,sadness,medium,6
572,I feel lonely today #571,English,fear,medium,4
573,I feel very happy today #572,English,neutral,medium,4
574,I feel a lot of pressure #573,English,joy,medium,6
575,I feel excited for tomorrow #574,English,neutral,low,0
576,I am frustrated with my tasks #575,English,sadness,low,2
577,I feel a lot of pressure #576,English,neutral,high,8
578,I am stressed about my work #577,English,anger,low,3
579,I feel a lot of pressure #578,English,stress,high,7
580,I am stressed about my work #579,English,joy,high,8
581,I am angry about the situation #580,English,sadness,high,10
582,I am surprised by the news #581,English,sadness,low,1
583,I feel excited for tomorrow #582,English,stress,high,9
584,I feel lonely today #583,English,sadness,low,0
585,I feel very happy today #584,English,joy,high,10
586,I am angry about the situation #585,English,surprise,low,2
587,I am surprised by the news #586,English,neutral,high,10
588,I feel peaceful today #587,English,neutral,high,10
589,I am worried about my exams #588,English,anger,low,0
590,I feel calm and relaxed #589,English,anger,low,1
591,I am angry about the situation #590,English,sadness,high,10
592,I am surprised by the news #591,English,joy,medium,5
593,I feel nervous about my future #592,English,joy,high,8
594,I feel calm and relaxed #593,English,stress,high,8
595,I feel excited for tomorrow #594,English,sadness,high,7
